Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort
202100-5943,Alkoholsortimentsnämnden,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/alkoholsortimentsnamnden,2007:1216,,,,,,,,,,,,,,,,,
202100-3625,ALLMÄNNA REKLAMATIONSNÄMNDEN,BOX 174,101 23,STOCKHOLM,Sveavägen 31,111 34,STOCKHOLM,850886000.0,,arn@arn.se,www.arn.se,2015:739,,,,,,,,,,,,,,,,,
202100-6834,Ansvarsnämnden för djurens hälso- och sjukvård,BOX 322,551 15,JÖNKÖPING,Vallgatan 8,553 16,JÖNKÖPING,36155853.0,,vetansvar@jordbruksverket.se,www.vetansvar.se,2009:302,,,,,,,,,,,,,,,,,
202100-2114,ARBETSFÖRMEDLINGEN,,107 67,STOCKHOLM,ELEKTROGATAN 4,171 54,SOLNA,771600053.0,,registrator@arbetsformedlingen.se,www.arbetsformedlingen.se,2022:811,,,,,,,,,,,,,,,,,
202100-3476,ARBETSGIVARVERKET,Mäster Samuelsgatan 60  9 tr,111 21,STOCKHOLM,Mäster Samuelsgatan 60,111 21,STOCKHOLM,,,registrator@arbetsgivarverket.se,www.arbetsgivarverket.se,2007:829,,,,,,,,,,,,,,,,,
202100-2148,ARBETSMILJÖVERKET,BOX 9082,171 09,SOLNA,SVETSARVÄGEN 12  2TR,171 41,SOLNA,107309000.0,,arbetsmiljoverket@av.se,www.av.se,2007:913,,,,,,,,,,,,,,,,,
202100-5950,Arvfondsdelegationen,BOX 2218,103 15,STOCKHOLM,Slottsbacken 6,111 30,STOCKHOLM,87000800.0,,info@arvsfonden.se,www.arvsfonden.se,2021:403,,,,,,,,,,,,,,,,,
202100-3690,BARNOMBUDSMANNEN,BOX 22106,104 22,STOCKHOLM,LINDHAGENSGATAN 126,112 51,STOCKHOLM,86922950.0,,info@barnombudsmannen.se,www.barnombudsmannen.se,2007:1021,,,,,,,,,,,,,,,,,
202100-4011,BLEKINGE TEKNISKA HÖGSKOLA,,371 79,KARLSKRONA,VALHALLAVÄGEN 1,371 41,KARLSKRONA,455385000.0,,registrator@bth.se,www.bth.se,1993:100,,,,,,,,,,,,,,,,,
202100-3278,BOKFÖRINGSNÄMNDEN,BOX 7849,103 99,STOCKHOLM,Sveavägen 44,111 34,STOCKHOLM,840898990.0,,bfn@bfn.se,www.bfn.se,2017:153,,,,,,,,,,,,,,,,,
202100-5489,BOLAGSVERKET,,851 81,SUNDSVALL,STUVARVÄGEN 21,852 29,SUNDSVALL,771670670.0,,bolagsverket@bolagsverket.se,www.bolagsverket.se,2007:1110,,,,,,,,,,,,,,,,,
202100-3989,BOVERKET,BOX 534,371 23,KARLSKRONA,Skeppsbrokajen 16,371 33,KARLSKRONA,,,registraturen@boverket.se,www.boverket.se,2022:208,,,,,,,,,,,,,,,,,
