Land	Namn	Ambassadör/Generalkonsul	PostAdress1	PostAdress2	PostAdress3	PostAdress4	PostAdress5	PostAdress6	PostAdress7	BesöksAdress1	BesöksAdress2	BesöksAdress3	BesöksAdress4	BesöksAdress5	BesöksAdress6	BesöksAdress7	Tfn	Fax	Epost	Webbadress
																				
Afghanistan	Sveriges ambassad Kabul	Torkel Stiernlöf	Embassy of Sweden	MoI-Street, opposite the MoI	Shar-e Naw	Kabul, Afghanistan				Sveriges Ambassad	MoI-Street, opposite the MoI	Shar-e Naw	Kabul, Afghanistan				+93 20 210 49 12		ambassaden.kabul@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/afghanistan-kabul
Albanien	Sveriges ambassad Tirana	Elsa Håstad	Sveriges ambassad	56 Rruga Pjeter Budi	1000 Tirana	Albanien				Sveriges ambassad	Rruga Pjeter Budi, 56	Tirana	Albanien				+335 4 238 06 50		ambassaden.tirana@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/albanien-tirana
Algeriet	Sveriges ambassad Alger	Björn Häggmark	Ambassade de Suède	B.P. 263	160 35 Hydra-Alger	Algeriet				Sveriges Ambassad	Rue Olof Palme	Hydra Alger					+213 (21) 54 83 33	+213 (21) 54 83 34	ambassaden.alger@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/algeriet-alger
Angola	Sveriges ambassad Luanda	Ewa Polano	Embassy of Sweden	C.P. 1130	Luanda	Angola				Rua Garcia Neto nº 9	Miramar	Luanda					+244 222 447522		ambassaden.luanda@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/angola-luanda
Argentina	Sveriges ambassad Buenos Aires	Anders Carlsson	Embajada de Suecia	Olga Cossettini 731, 2do. Piso	C1107CDA	Ciudad Autónoma de Buenos Aires	Argentina			Sveriges Ambassad	Olga Cossettini 731, 2do. piso.	Buenos Aires	Argentina				+54 (11) 4319 5100	+54 (11) 4319 5199	ambassaden.buenos-aires@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/argentina-buenos-aires
Armenien	Sveriges ambassad Jerevan	Patrik Svensson	Yerevan Plaza Business Centre	9 Grigor Lusavorich Street	Yerevan 0015	Armenia				Yerevan Plaza Business Centre	9 Grigor Lusavorich Street	Yerevan 0015	Armenia				+374(0)95959501		ambassaden.jerevan@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/armenien-jerevan
Australien	Sveriges ambassad Canberra	Henrik Cederin	Embassy of Sweden	Yarralumla ACT 2600	Canberra	Australien				Sveriges Ambassad	5 Turrana Street	Yarralumla	Canberra				+61 (2) 62 70 27 00	+61 (2) 62 70 27 55	ambassaden.canberra@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/australien-canberra
Azerbajdzjan	Sveriges Ambassad Baku	Christian Kamill	Embassy of Sweden	69 Nizami Street, ISR Plaza	11th Floor	AZ-1005 Baku				ISR Plaza 11th Floor	69 Nizami Street, ISR Plaza	11th Floor	Baku				+994 (0)12 505 25 76	+994 (0)12 505 25 67	ambassaden.baku@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/azerbajdzjan-baku
Bangladesh	Sveriges ambassad Dhaka	Alexandra Berg von Linde	The Embassy of Sweden	Bay´s Edgewater, 6th floor	Gulshan 2	Dhaka 1212	Bangladesh			Sveriges Ambassad	Bay´s Edgewater, 6th floor	Gulshan 2	Dhaka				+880 (2) 556 685 00	+880 (2) 985 20 32	ambassaden.dhaka@gov.se	www.swedenabroad.se/en/embassies/bangladesh-dhaka
Belarus	Sveriges ambassad Minsk	Christina Johannesson	Vulitsa Revaliutsyinaya 15	Minsk	Belarus 220030					Vulitsa Revaliutsyinaya 15	Minsk	Belarus					+375 17 329 17 00		ambassaden.minsk@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/belarus-minsk
Belgien	Sveriges EU-representation Bryssel	Lars Danielsson	Permanent Representation of Sweden to the European Union	Square de Meeûs 30	1000 Bryssel	Belgien				Sveriges ständiga representation vid Europeiska unionen	Square de Meeûs 30	Bryssel					+32 2 289 56 11	+32 2 289 56 00	representationen.bryssel@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/europeiska-unionen
Belgien	Sveriges generalkonsulat Bryssel	Åsa Zinfandel	Sveriges generalkonsulat i Bryssel	Square de Meeûs 30	1110 Bryssel	Belgien				Square de Meeûs 30	1110 Bryssel	Belgien					+32 22895800		generalkonsulat.bryssel@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/belgien-bryssel
Bolivia	Sveriges ambassad La Paz	Nicolas Weeks	Embajada de Suecia	Avenida Arce 2631 Edificio Multicine	Piso 11, San Jorge	La Paz	Bolivia			Sveriges Ambassad	Avenida Arce 2631, Edificio Multicine,	piso 11	San Jorge	La Paz			+591 2 297 96 30	+591 2 297 96 31	ambassaden.lapaz@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/bolivia-la-paz
Bosnien-Hercegovina	Sveriges ambassad Sarajevo	Johanna Strömquist	Embassy of Sweden	Ferhadija 20	71000 Sarajevo	Bosnien-Hercegovina				Sveriges Ambassad	Ferhadija 20	Sarajevo					+387 (0)33 27 60 30	+387 (0)33 27 60 60	ambassaden.sarajevo@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/bosnien-och-hercegovina-sarajevo
Brasilien	Sveriges ambassad Brasilia	Johanna Brismar Skoog	Sveriges Ambassad i Brasilia	Avenida das Nações Qd.807	Lote 29	70419-900 Brasília - DF	Brasilien			Sveriges Ambassad i Brasilia	Avenida das Nações,	Qd.807, lote 29	70419-900 Brasilia - DF				+55 (61) 3442 52 00	+55 (61) 3443 11 87	ambassaden.brasilia@gov.se	www.swedenabroad.com (www.suecia.org.br)
Burkina Faso	Sveriges ambassad Ouagadougou	Maria Sargren	Ambassade de Suède	11 BP 755 CMS	Ouagadougou 11	Burkina Faso				Sveriges ambassad	Avenue de l'Europe, 187	Burkina Faso					+226 50 49 61 70		ambassaden.ouagadougou@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/burkina-faso-ouagadougou/
Chile	Svergies ambassad Santigao	Oscar Stenström	Embajada de Suecia	Av. Nueva Providencia 2353	Providencia	Santigao de Chile				Sveriges Ambassad	Nueva Providencia 2353, 4 Piso	Providencia	Santigao de Chile				+56 (2) 940 17 00	+56 (2) 940 17 30	ambassaden.santiago-de-chile@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/chile-santiago-de-chile
