Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS	Sort
202100-2122	ARBETSDOMSTOLEN	BOX 2018	103 11	STOCKHOLM	STORA NYGATAN 2  A-B	111 27	STOCKHOLM	086176600		kansliet@arbetsdomstolen.se	www.arbetsdomstolen.se	1988:1137	1
202100-2742	DOMSTOLSVERKET		551 81	JÖNKÖPING	KYRKOGATAN 32	553 16	JÖNKÖPING	036155300		domstolsverket@dom.se	www.domstol.se	1988:317	4
202100-6313	Försvarsunderrättelsedomstolen	BOX 1097	164 25	KISTA	GULLFOSSGATAN 6	164 40	KISTA			undom@undom.se	www.undom.se	2009:966	5
202100-2742	ALINGSÅS TINGSRÄTT	BOX 126	441 23	ALINGSÅS	SÖDRA RINGGATAN 23	441 33	ALINGSÅS	032279300		alingsas.tingsratt@dom.se	www.alingsastingsratt.domstol.se	1988:317	9
202100-2742	ATTUNDA TINGSRÄTT	BOX 940	191 29	SOLLENTUNA	TINGSVÄGEN 11	191 61	SOLLENTUNA	0856169500		attunda.tingsratt@dom.se	www.attundatingsratt.domstol.se	1988:317	9
202100-2742	BLEKINGE TINGSRÄTT	BOX 319	371 25	KARLSKRONA	RÅDHUSGATAN 2  RÅDHUSET, STORTORGET	371 31	KARLSKRONA	0455335400		blekinge.tingsratt@dom.se	www.blekingetingsratt.domstol.se	1988:317	9
202100-2742	BORÅS TINGSRÄTT	BOX 270	501 13	BORÅS	Petersbergsgatan 10	504 30	BORÅS	033177000		boras.tingsratt@dom.se	www.borastingsratt.domstol.se	1988:317	9
202100-2742	EKSJÖ TINGSRÄTT	BOX 230	575 23	EKSJÖ	SOFIEHOLMSGATAN 7	575 33	EKSJÖ	038138400		eksjo.tingsratt@dom.se	www.eksjotingsratt.domstol.se	1988:317	9
202100-2742	ESKILSTUNA TINGSRÄTT	BOX 363	631 05	ESKILSTUNA	VÄSTERMARKSGATAN 18	632 20	ESKILSTUNA	0164030300		eskilstuna.tingsratt@dom.se	www.eskilstunatingsratt.domstol.se	1988:317	9
202100-2742	FALU TINGSRÄTT	BOX 102	791 23	FALUN	KULLEN 4	791 31	FALUN	02348200		falu.tingsratt@dom.se	www.falutingsratt.domstol.se	1988:317	9
