orgnr,wikidata_item,wikidata_label
194004216117,http://www.wikidata.org/entity/Q133211729,Meyerateljéerna
194608240414,http://www.wikidata.org/entity/Q113625627,Jens Fischer Film
196011260079,http://www.wikidata.org/entity/Q124637209,Swedish Ecstasy Film
196012131493,http://www.wikidata.org/entity/Q126199194,Harald Hamrell Filmproduktion
196402252933,http://www.wikidata.org/entity/Q126199195,Bogaeus Manuskript
197502062057,http://www.wikidata.org/entity/Q124499652,Johan Löfstedt Filmproduktion
198607310458,http://www.wikidata.org/entity/Q112679362,Tirzitis Entertainment
2021000795,http://www.wikidata.org/entity/Q470990,Luftfartsverket
2021001041,http://www.wikidata.org/entity/Q10677667,Statens biografbyrå
2021002650,http://www.wikidata.org/entity/Q107157415,Justitieombudsmannen
2021003484,http://www.wikidata.org/entity/Q6338017,Kungliga Hovstaterna
2021004284,http://www.wikidata.org/entity/Q942801,Svenska kraftnät
2021004862,http://www.wikidata.org/entity/Q127767382,Myndigheten för utländska investeringar i Sverige
2021005422,http://www.wikidata.org/entity/Q7654775,Riksrevisionen
2021006313,http://www.wikidata.org/entity/Q10501617,Försvarsunderrättelsedomstolen
2021006396,http://www.wikidata.org/entity/Q10677697,Statens medieråd
2021006461,http://www.wikidata.org/entity/Q10655165,Riksdagens arvodesnämnd
2021006701,http://www.wikidata.org/entity/Q47011663,Delegationen mot segregation
2021006727,http://www.wikidata.org/entity/Q80207105,Lokala säkerhetsnämnden vid Barsebäck
2021006768,http://www.wikidata.org/entity/Q80207121,Lokala säkerhetsnämnden vid Studsvik
2120000019,http://www.wikidata.org/entity/Q499425,Upplands Väsby kommun
2120000027,http://www.wikidata.org/entity/Q501526,Vallentuna kommun
2120000035,http://www.wikidata.org/entity/Q493841,Värmdö kommun
2120000043,http://www.wikidata.org/entity/Q301259,Järfälla kommun
2120000050,http://www.wikidata.org/entity/Q492614,Ekerö kommun
2120000068,http://www.wikidata.org/entity/Q492575,Huddinge kommun
2120000084,http://www.wikidata.org/entity/Q113692,Haninge kommun
2120000092,http://www.wikidata.org/entity/Q113730,Tyresö kommun
2120000100,http://www.wikidata.org/entity/Q113673,Upplands-Bro kommun
2120000118,http://www.wikidata.org/entity/Q493066,Täby kommun
2120000126,http://www.wikidata.org/entity/Q113679,Danderyds kommun
2120000134,http://www.wikidata.org/entity/Q503746,Sollentuna kommun
2120000142,http://www.wikidata.org/entity/Q506250,Stockholms kommun
2120000159,http://www.wikidata.org/entity/Q516336,Södertälje kommun
2120000167,http://www.wikidata.org/entity/Q946647,Nacka kommun
2120000175,http://www.wikidata.org/entity/Q972564,Sundbybergs kommun
2120000183,http://www.wikidata.org/entity/Q109010,Solna kommun
2120000191,http://www.wikidata.org/entity/Q3120654,Lidingö kommun
2120000217,http://www.wikidata.org/entity/Q214048,Norrtälje kommun
2120000225,http://www.wikidata.org/entity/Q216915,Sigtuna kommun
2120000233,http://www.wikidata.org/entity/Q505090,Nynäshamns kommun
2120000241,http://www.wikidata.org/entity/Q511253,Håbo kommun
2120000258,http://www.wikidata.org/entity/Q59858,Älvkarleby kommun
2120000266,http://www.wikidata.org/entity/Q510198,Tierps kommun
2120000282,http://www.wikidata.org/entity/Q509568,Enköpings kommun
2120000290,http://www.wikidata.org/entity/Q59093,Östhammars kommun
2120000308,http://www.wikidata.org/entity/Q249378,Vingåkers kommun
2120000324,http://www.wikidata.org/entity/Q505246,Oxelösunds kommun
2120000332,http://www.wikidata.org/entity/Q27982,Flens kommun
2120000340,http://www.wikidata.org/entity/Q508140,Katrineholms kommun
2120000357,http://www.wikidata.org/entity/Q503144,Eskilstuna kommun
2120000365,http://www.wikidata.org/entity/Q501532,Strängnäs kommun
2120000373,http://www.wikidata.org/entity/Q293970,Ödeshögs kommun
2120000381,http://www.wikidata.org/entity/Q515699,Ydre kommun
2120000399,http://www.wikidata.org/entity/Q515299,Kinda kommun
2120000407,http://www.wikidata.org/entity/Q509514,Boxholms kommun
2120000415,http://www.wikidata.org/entity/Q271340,Åtvidabergs kommun
2120000423,http://www.wikidata.org/entity/Q503180,Finspångs kommun
2120000431,http://www.wikidata.org/entity/Q509997,Valdemarsviks kommun
2120000449,http://www.wikidata.org/entity/Q499410,Linköpings kommun
2120000456,http://www.wikidata.org/entity/Q504676,Norrköpings kommun
2120000464,http://www.wikidata.org/entity/Q515680,Söderköpings kommun
2120000480,http://www.wikidata.org/entity/Q267030,Mjölby kommun
2120000498,http://www.wikidata.org/entity/Q503167,Aneby kommun
2120000506,http://www.wikidata.org/entity/Q509609,Gnosjö kommun
2120000514,http://www.wikidata.org/entity/Q505259,Gislaveds kommun
2120000522,http://www.wikidata.org/entity/Q605329,Vaggeryds kommun
2120000530,http://www.wikidata.org/entity/Q504689,Jönköpings kommun
2120000548,http://www.wikidata.org/entity/Q505096,Nässjö kommun
2120000555,http://www.wikidata.org/entity/Q280562,Värnamo kommun
2120000563,http://www.wikidata.org/entity/Q505239,Sävsjö kommun
2120000571,http://www.wikidata.org/entity/Q505052,Vetlanda kommun
2120000589,http://www.wikidata.org/entity/Q512035,Eksjö kommun
2120000597,http://www.wikidata.org/entity/Q505071,Tranås kommun
2120000605,http://www.wikidata.org/entity/Q515505,Uppvidinge kommun
2120000613,http://www.wikidata.org/entity/Q509488,Lessebo kommun
2120000621,http://www.wikidata.org/entity/Q515491,Tingsryds kommun
2120000639,http://www.wikidata.org/entity/Q182007,Alvesta kommun
2120000647,http://www.wikidata.org/entity/Q254799,Älmhults kommun
2120000654,http://www.wikidata.org/entity/Q240574,Markaryds kommun
2120000662,http://www.wikidata.org/entity/Q500217,Växjö kommun
2120000670,http://www.wikidata.org/entity/Q504235,Ljungby kommun
2120000688,http://www.wikidata.org/entity/Q510233,Högsby kommun
2120000696,http://www.wikidata.org/entity/Q515551,Torsås kommun
2120000704,http://www.wikidata.org/entity/Q514756,Mörbylånga kommun
2120000712,http://www.wikidata.org/entity/Q512002,Hultsfreds kommun
2120000720,http://www.wikidata.org/entity/Q515250,Mönsterås kommun
2120000738,http://www.wikidata.org/entity/Q509452,Emmaboda kommun
2120000746,http://www.wikidata.org/entity/Q508153,Kalmar kommun
2120000753,http://www.wikidata.org/entity/Q515318,Nybro kommun
2120000761,http://www.wikidata.org/entity/Q505006,Oskarshamns kommun
2120000779,http://www.wikidata.org/entity/Q515477,Västerviks kommun
2120000787,http://www.wikidata.org/entity/Q505057,Vimmerby kommun
2120000795,http://www.wikidata.org/entity/Q509546,Borgholms kommun
2120000803,http://www.wikidata.org/entity/Q374794,Region Gotland
2120000811,http://www.wikidata.org/entity/Q504257,Olofströms kommun
2120000829,http://www.wikidata.org/entity/Q1128384,Karlskrona kommun
2120000837,http://www.wikidata.org/entity/Q515373,Ronneby kommun
2120000845,http://www.wikidata.org/entity/Q510223,Karlshamns kommun
2120000852,http://www.wikidata.org/entity/Q515409,Sölvesborgs kommun
2120000860,http://www.wikidata.org/entity/Q307370,Östra Göinge kommun
2120000878,http://www.wikidata.org/entity/Q297936,Örkelljunga kommun
2120000886,http://www.wikidata.org/entity/Q515519,Tomelilla kommun
2120000894,http://www.wikidata.org/entity/Q514830,Bromölla kommun
2120000902,http://www.wikidata.org/entity/Q504594,Osby kommun
2120000910,http://www.wikidata.org/entity/Q504249,Perstorps kommun
2120000928,http://www.wikidata.org/entity/Q504614,Klippans kommun
2120000936,http://www.wikidata.org/entity/Q201813,Åstorps kommun
2120000944,http://www.wikidata.org/entity/Q499464,Båstads kommun
2120000951,http://www.wikidata.org/entity/Q498857,Kristianstads kommun
2120000969,http://www.wikidata.org/entity/Q504626,Simrishamns kommun
2120000977,http://www.wikidata.org/entity/Q255206,Ängelholms kommun
2120000985,http://www.wikidata.org/entity/Q508125,Hässleholms kommun
2120000993,http://www.wikidata.org/entity/Q504227,Svalövs kommun
2120001017,http://www.wikidata.org/entity/Q504609,Staffanstorps kommun
2120001025,http://www.wikidata.org/entity/Q186662,Burlövs kommun
2120001033,http://www.wikidata.org/entity/Q511338,Vellinge kommun
2120001041,http://www.wikidata.org/entity/Q511310,Bjuvs kommun
2120001058,http://www.wikidata.org/entity/Q513370,Kävlinge kommun
2120001066,http://www.wikidata.org/entity/Q427991,Lomma kommun
2120001074,http://www.wikidata.org/entity/Q515706,Svedala kommun
2120001082,http://www.wikidata.org/entity/Q515266,Skurups kommun
2120001090,http://www.wikidata.org/entity/Q504601,Sjöbo kommun
2120001108,http://www.wikidata.org/entity/Q504619,Hörby kommun
2120001116,http://www.wikidata.org/entity/Q266401,Höörs kommun
2120001124,http://www.wikidata.org/entity/Q503361,Malmö kommun
2120001132,http://www.wikidata.org/entity/Q505018,Lunds kommun
2120001140,http://www.wikidata.org/entity/Q502298,Landskrona kommun
2120001157,http://www.wikidata.org/entity/Q487648,Helsingborgs kommun
2120001165,http://www.wikidata.org/entity/Q505013,Höganäs kommun
2120001173,http://www.wikidata.org/entity/Q1130264,Eslövs kommun
2120001181,http://www.wikidata.org/entity/Q505102,Ystads kommun
2120001199,http://www.wikidata.org/entity/Q504219,Trelleborgs kommun
2120001207,http://www.wikidata.org/entity/Q498477,Hylte kommun
2120001215,http://www.wikidata.org/entity/Q504692,Halmstads kommun
2120001223,http://www.wikidata.org/entity/Q487502,Laholms kommun
2120001231,http://www.wikidata.org/entity/Q508168,Falkenbergs kommun
2120001249,http://www.wikidata.org/entity/Q179180,Varbergs kommun
2120001256,http://www.wikidata.org/entity/Q499380,Kungsbacka kommun
2120001264,http://www.wikidata.org/entity/Q500125,Härryda kommun
2120001272,http://www.wikidata.org/entity/Q125222,Partille kommun
2120001280,http://www.wikidata.org/entity/Q293928,Öckerö kommun
2120001298,http://www.wikidata.org/entity/Q511438,Stenungsunds kommun
2120001306,http://www.wikidata.org/entity/Q501448,Tjörns kommun
2120001314,http://www.wikidata.org/entity/Q338752,Orusts kommun
2120001322,http://www.wikidata.org/entity/Q501420,Sotenäs kommun
2120001330,http://www.wikidata.org/entity/Q389040,Munkedals kommun
2120001348,http://www.wikidata.org/entity/Q511228,Tanums kommun
2120001355,http://www.wikidata.org/entity/Q52502,Göteborgs kommun
2120001363,http://www.wikidata.org/entity/Q511270,Mölndals kommun
2120001371,http://www.wikidata.org/entity/Q511394,Kungälvs kommun
2120001389,http://www.wikidata.org/entity/Q503173,Lysekils kommun
2120001397,http://www.wikidata.org/entity/Q501442,Uddevalla kommun
