Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,orgnr_norm,wikidata,wd_item,wd_label,wd_website,avvik_namn,post_webb,wd_webb_norm,avvik_webb,matched_in_wikidata
202100-5943,Alkoholsortimentsnämnden,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,087000800,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/alkoholsortimentsnamnden,2007:1216,202100-5943,,,,,True,www.kammarkollegiet.se/alkoholsortimentsnamnden,,True,False
202100-3625,ALLMÄNNA REKLAMATIONSNÄMNDEN,BOX 174,101 23,STOCKHOLM,Sveavägen 31,111 34,STOCKHOLM,0850886000,,arn@arn.se,www.arn.se,2015:739,202100-3625,,,,,True,www.arn.se,,True,False
202100-6834,Ansvarsnämnden för djurens hälso- och sjukvård,BOX 322,551 15,JÖNKÖPING,Vallgatan 8,553 16,JÖNKÖPING,036155853,,vetansvar@jordbruksverket.se,www.vetansvar.se,2009:302,202100-6834,,,,,True,www.vetansvar.se,,True,False
202100-2114,ARBETSFÖRMEDLINGEN,,107 67,STOCKHOLM,ELEKTROGATAN 4,171 54,SOLNA,0771600053,,registrator@arbetsformedlingen.se,www.arbetsformedlingen.se,2022:811,202100-2114,,,,,True,www.arbetsformedlingen.se,,True,False
202100-3476,ARBETSGIVARVERKET,Mäster Samuelsgatan 60  9 tr,111 21,STOCKHOLM,Mäster Samuelsgatan 60,111 21,STOCKHOLM,,,registrator@arbetsgivarverket.se,www.arbetsgivarverket.se,2007:829,202100-3476,,,,,True,www.arbetsgivarverket.se,,True,False
202100-2148,ARBETSMILJÖVERKET,BOX 9082,171 09,SOLNA,SVETSARVÄGEN 12  2TR,171 41,SOLNA,0107309000,,arbetsmiljoverket@av.se,www.av.se,2007:913,202100-2148,,,,,True,www.av.se,,True,False
202100-5950,Arvfondsdelegationen,BOX 2218,103 15,STOCKHOLM,Slottsbacken 6,111 30,STOCKHOLM,087000800,,info@arvsfonden.se,www.arvsfonden.se,2021:403,202100-5950,,,,,True,www.arvsfonden.se,,True,False
202100-3690,BARNOMBUDSMANNEN,BOX 22106,104 22,STOCKHOLM,LINDHAGENSGATAN 126,112 51,STOCKHOLM,086922950,,info@barnombudsmannen.se,www.barnombudsmannen.se,2007:1021,202100-3690,,,,,True,www.barnombudsmannen.se,,True,False
202100-4011,BLEKINGE TEKNISKA HÖGSKOLA,,371 79,KARLSKRONA,VALHALLAVÄGEN 1,371 41,KARLSKRONA,0455385000,,registrator@bth.se,www.bth.se,1993:100,202100-4011,,,,,True,www.bth.se,,True,False
202100-3278,BOKFÖRINGSNÄMNDEN,BOX 7849,103 99,STOCKHOLM,Sveavägen 44,111 34,STOCKHOLM,0840898990,,bfn@bfn.se,www.bfn.se,2017:153,202100-3278,,,,,True,www.bfn.se,,True,False
202100-5489,BOLAGSVERKET,,851 81,SUNDSVALL,STUVARVÄGEN 21,852 29,SUNDSVALL,0771670670,,bolagsverket@bolagsverket.se,www.bolagsverket.se,2007:1110,202100-5489,,,,,True,www.bolagsverket.se,,True,False
202100-3989,BOVERKET,BOX 534,371 23,KARLSKRONA,Skeppsbrokajen 16,371 33,KARLSKRONA,,,registraturen@boverket.se,www.boverket.se,2022:208,202100-3989,,,,,True,www.boverket.se,,True,False
202100-0068,BROTTSFÖREBYGGANDE RÅDET,BOX 1386,111 93,STOCKHOLM,FLEMINGGATAN 14,112 26,STOCKHOLM,0852758400,,registrator@bra.se,www.bra.se,2016:1201,202100-0068,,,,,True,www.bra.se,,True,False
202100-3435,BROTTSOFFERMYNDIGHETEN,BOX 470,901 09,UMEÅ,STORGATAN 49,903 26,UMEÅ,090708200,,registrator@brottsoffermyndigheten.se,www.brottsoffermyndigheten.se,2007:1171,202100-3435,,,,,True,www.brottsoffermyndigheten.se,,True,False
202100-6909,CENTRALA DJURFÖRSÖKSETISKA NÄMNDEN,,551 82,JÖNKÖPING,,000 00,JÖNKÖPING,,,infoCDFN@jordbruksverket.se,www.cdfn.se,1988:539,202100-6909,,,,,True,www.cdfn.se,,True,False
202100-1819,CENTRALA STUDIESTÖDSNÄMNDEN,,851 82,SUNDSVALL,NORRA TJÄRNGATAN 2,852 33,SUNDSVALL,060186000,,registrator@csn.se,www.csn.se,2017:1114,202100-1819,,,,,True,www.csn.se,,True,False
202100-6842,Delegationen för folkrättslig granskning av vapenprojekt,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:936,202100-6842,,,,,True,,,False,False
202100-6073,Diskrimineringsombudsmannen,Box 4057,169 04,SOLNA,Råsundavägen 18,169 67,SOLNA,,,do@do.se,www.do.se,2008:1401,202100-6073,,,,,True,www.do.se,,True,False
202100-6081,Domarnämnden,BOX 2330,103 18,STOCKHOLM,BIRGER JARLS TORG 5,111 28,STOCKHOLM,0856166950,,domarnamnden@dom.se,www.domstol.se/domarnamnden,2010:1793,202100-6081,,,,,True,www.domstol.se/domarnamnden,,True,False
202100-6552,E-hälsomyndigheten,Box 913,391 29,KALMAR,SÖDRA LÅNGGATAN 60,392 31,KALMAR,0104586200,,registrator@ehalsomyndigheten.se,www.ehalsomyndigheten.se,2013:1031,202100-6552,,,,,True,www.ehalsomyndigheten.se,,True,False
202100-4979,EKOBROTTSMYNDIGHETEN,BOX 22098,104 22,STOCKHOLM,Hantverkargatan 11,112 21,STOCKHOLM,0105629000,,huvudregistrator@ekobrottsmyndigheten.se,www.ekobrottsmyndigheten.se,2015:744,202100-4979,,,,,True,www.ekobrottsmyndigheten.se,,True,False
202100-5026,EKONOMISTYRNINGSVERKET,BOX 12028,102 21,STOCKHOLM,Fleminggatan 20,112 26,STOCKHOLM,086904300,,registrator@esv.se,www.esv.se,2016:1023,202100-5026,,,,,True,www.esv.se,,True,False
