lang,domain,count
sv,www.scb.se,43907
sv,geodata.scb.se,18729
fi,www.scb.se,7870
sv,www.statistikdatabasen.scb.se,6848
no,www.scb.se,6412
en,www.scb.se,4632
pl,www.scb.se,2498
it,www.scb.se,2101
de,www.scb.se,1350
en,share.scb.se,1309
ro,www.statistikdatabasen.scb.se,1212
hu,www.scb.se,1177
sv,share.scb.se,1155
da,kommunsiffror.scb.se,1148
fi,www.statistikdatabasen.scb.se,1111
de,www.statistikdatabasen.scb.se,849
es,www.statistikdatabasen.scb.se,788
ro,www.scb.se,686
sv,kommunsiffror.scb.se,661
es,www.scb.se,647
da,www.scb.se,578
pt,www.scb.se,477
ru,www.scb.se,433
en,www.statistikdatabasen.scb.se,392
tr,www.scb.se,382
nl,www.scb.se,342
nn,www.scb.se,334
is,www.scb.se,283
sv,www.ssd.scb.se,231
fi,geodata.scb.se,212
vi,www.scb.se,183
hr,www.scb.se,167
no,www.statistikdatabasen.scb.se,139
cs,www.scb.se,119
sv,www.gis.scb.se,101
pl,www.statistikdatabasen.scb.se,98
sv,www.sverigeisiffror.scb.se,98
fi,www.ssd.scb.se,86
ca,www.scb.se,80
se,www.scb.se,78
da,www.statistikdatabasen.scb.se,60
pl,www.sverigeisiffror.scb.se,53
ru,www.statistikdatabasen.scb.se,52
sv,scb.se,48
no,www.ssd.scb.se,46
sl,www.scb.se,44
sv,regina.scb.se,35
et,www.scb.se,35
lv,www.scb.se,26
is,www.ssd.scb.se,25
nn,www.ssd.scb.se,24
en,www.ssd.scb.se,23
no,www.myndighetsregistret.scb.se,23
en,scb.se,23
vi,www.ssd.scb.se,21
vi,www.statistikdatabasen.scb.se,19
pt,www.statistikdatabasen.scb.se,18
sk,www.scb.se,18
cs,www.statistikdatabasen.scb.se,18
eo,www.scb.se,17
no,scb.se,16
fi,share.scb.se,15
da,scb.se,13
sl,www.statistikdatabasen.scb.se,12
sv,www.myndighetsregistret.scb.se,11
es,share.scb.se,11
da,share.scb.se,10
fi,scb.se,10
ca,www.statistikdatabasen.scb.se,9
tr,www.statistikdatabasen.scb.se,9
pl,scb.se,9
ru,www.ssd.scb.se,9
de,share.scb.se,8
en,w41.scb.se,8
hu,www.statistikdatabasen.scb.se,8
sv,www.h.scb.se,7
it,scb.se,7
de,www.ssd.scb.se,7
en,www.sverigeisiffror.scb.se,7
hu,www.ssd.scb.se,7
is,www.statistikdatabasen.scb.se,6
pt,scb.se,6
it,www.ssd.scb.se,6
nl,www.ssd.scb.se,6
pt,www.sverigeisiffror.scb.se,6
it,www.statistikdatabasen.scb.se,6
pl,www.scb.se:80,5
fi,w36.scb.se,5
es,www.ssd.scb.se,5
et,www.statistikdatabasen.scb.se,5
so,www.scb.se,5
sv,myndighetsregistret.scb.se,4
ro,www.myndighetsregistret.scb.se,4
en,kommunsiffror.scb.se,4
ca,scb.se,4
de,www.h.scb.se,4
da,www.ssd.scb.se,4
rm,www.scb.se,4
hr,www.ssd.scb.se,3
cy,www.scb.se,3
en,geodata.scb.se,3
sv,www.h5.scb.se,3
de,www.pubkat.scb.se,3
nl,www.statistikdatabasen.scb.se,3
sv,www.pubkat.scb.se,3
pt,share.scb.se,3
