lang,api.scb.se,geodata.scb.se,kommunsiffror.scb.se,myndighetsregistret.scb.se,regina.scb.se,scb.se,share.scb.se,sni2007.scb.se,ssd.scb.se,statistikdatabasen.scb.se,sverigeisiffror.scb.se,w36.scb.se,w41.scb.se,w42.ssd.scb.se,www..scb.se,www.gis.scb.se,www.h.scb.se,www.h5.scb.se,www.h6.scb.se,www.intrastat.scb.se,www.myndighetsregistret.scb.se,www.orestat.scb.se,www.pc-axis.scb.se,www.pubkat.scb.se,www.pxweb.scb.se,www.rennaringsstatistik.scb.se,www.scb.se,www.scb.se:80,www.sni2007.scb.se,www.ssd.scb.se,www.statistikdatabasen.scb.se,www.sverigeisiffror.scb.se
sv,1,18729,661,4,35,48,1155,1,1,0,0,0,0,2,0,101,7,3,0,1,11,1,0,3,1,1,43907,0,1,231,6848,98
fi,0,212,1,0,2,10,15,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7870,0,0,86,1111,1
no,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,0,0,0,0,0,6412,0,0,46,139,0
en,1,3,4,0,0,23,1309,0,0,0,0,0,8,0,0,1,0,0,1,0,0,1,2,0,0,0,4632,1,0,23,392,7
pl,0,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2498,5,0,0,98,53
de,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1350,0,0,7,849,0
it,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,6,6,1
ro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,686,0,0,2,1212,0
da,0,0,1148,0,0,13,10,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,578,0,0,4,60,0
es,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,5,788,0
hu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,0,0,7,8,0
pt,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,477,0,0,1,18,6
ru,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,9,52,0
tr,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,2,9,0
nn,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,24,3,0
nl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,6,3,0
is,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,25,6,0
vi,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,183,0,0,21,19,0
hr,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,3,1,0
cs,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,1,18,0
ca,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,2,9,0
se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,1,0,0
sl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,12,0
et,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,5,0
lv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0
eo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0
sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
rm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
cy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ceb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
