lang,page_title,url,wiki_link,status,final_url,ia_url,ia_status,reason
da,Teaterhögskolan i Stockholm,https://www.esv.se/statsliggaren/regleringsbrev/?RBID=13316,https://da.wikipedia.org/wiki/Teaterhögskolan_i_Stockholm,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/?RBID=13316,http://web.archive.org/web/20250126205729/https://www.esv.se/statsliggaren/regleringsbrev/?RBID=13316,available,
de,Försvarets radioanstalt,https://www.esv.se/statsliggaren/regleringsbrev/Index?rbId=24927,https://de.wikipedia.org/wiki/Försvarets_radioanstalt,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/Index?rbId=24927,,missing,
en,User talk:TobbeT,http://www.esv.se/aboutnes.4.349a0e10b3c2567f280002057.html,https://en.wikipedia.org/wiki/User_talk:TobbeT,dead,https://www.statskontoret.se:443/aboutnes.4.349a0e10b3c2567f280002057.html,http://web.archive.org/web/20120212191553/http://www.esv.se/aboutnes.4.349a0e10b3c2567f280002057.html,available,HTTP 404
en,Swedish National Financial Management Authority,http://www.esv.se/2.e1666ffde6cee058000307.html,https://en.wikipedia.org/wiki/Swedish_National_Financial_Management_Authority,dead,https://www.statskontoret.se:443/2.e1666ffde6cee058000307.html,http://web.archive.org/web/20160320205908/http://www.esv.se/2.e1666ffde6cee058000307.html,available,HTTP 404
en,Swedish National Financial Management Authority,http://www.esv.se/aboutesv.4.e1666ffde6cee058000398.html,https://en.wikipedia.org/wiki/Swedish_National_Financial_Management_Authority,dead,https://www.statskontoret.se:443/aboutesv.4.e1666ffde6cee058000398.html,http://web.archive.org/web/20160303170037/http://www.esv.se/aboutesv.4.e1666ffde6cee058000398.html,available,HTTP 404
en,National Defence Radio Establishment,http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15516,https://en.wikipedia.org/wiki/National_Defence_Radio_Establishment,dead,https://www.statskontoret.se:443/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15516,,missing,HTTP 404
en,Swedish Authority for Privacy Protection,http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14572,https://en.wikipedia.org/wiki/Swedish_Authority_for_Privacy_Protection,dead,https://www.statskontoret.se:443/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14572,http://web.archive.org/web/20160303213031/http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14572,available,HTTP 404
en,Swedish Economic Crime Authority,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14567,https://en.wikipedia.org/wiki/Swedish_Economic_Crime_Authority,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14567,http://web.archive.org/web/20150924002535/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14567,available,HTTP 404
en,Swedish National Board of Forensic Medicine,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14576,https://en.wikipedia.org/wiki/Swedish_National_Board_of_Forensic_Medicine,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14576,http://web.archive.org/web/20160303232950/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14576,available,HTTP 404
en,Swedish National Courts Administration,http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15542,https://en.wikipedia.org/wiki/Swedish_National_Courts_Administration,dead,https://www.statskontoret.se:443/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15542,http://web.archive.org/web/20160304030643/http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15542,available,HTTP 404
en,Public Health Agency of Sweden,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15696,https://en.wikipedia.org/wiki/Public_Health_Agency_of_Sweden,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15696,http://web.archive.org/web/20160303230852/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15696,available,HTTP 404
en,Ombudsman for Children in Sweden,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14774,https://en.wikipedia.org/wiki/Ombudsman_for_Children_in_Sweden,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14774,http://web.archive.org/web/20160304030649/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14774,available,HTTP 404
en,Swedish Council for Higher Education,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14781,https://en.wikipedia.org/wiki/Swedish_Council_for_Higher_Education,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14781,http://web.archive.org/web/20160315232925/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=14781,available,HTTP 404
en,Swedish Fiscal Policy Council,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15364,https://en.wikipedia.org/wiki/Swedish_Fiscal_Policy_Council,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15364,,missing,HTTP 404
en,Swedish Public Employment Service,http://esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15983,https://en.wikipedia.org/wiki/Swedish_Public_Employment_Service,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15983,http://web.archive.org/web/20150926235157/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15983,available,HTTP 404
en,Swedish Work Environment Authority,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15655,https://en.wikipedia.org/wiki/Swedish_Work_Environment_Authority,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15655,http://web.archive.org/web/20150924002618/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15655,available,HTTP 404
en,"Legal, Financial and Administrative Services Agency",http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15386,"https://en.wikipedia.org/wiki/Legal,_Financial_and_Administrative_Services_Agency",dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15386,,missing,HTTP 404
en,National Property Board of Sweden,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15581,https://en.wikipedia.org/wiki/National_Property_Board_of_Sweden,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15581,,missing,HTTP 404
en,Swedish National Council for Crime Prevention,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16312,https://en.wikipedia.org/wiki/Swedish_National_Council_for_Crime_Prevention,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16312,http://web.archive.org/web/20160305060748/http://www.esv.se/verktyg--stod/statsliggaren/regleringsbrev?rbid=16312,available,HTTP 404
en,Swedish Security Service,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16592,https://en.wikipedia.org/wiki/Swedish_Security_Service,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16592,http://web.archive.org/web/20160304034627/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16592,available,HTTP 404
en,Swedish Police Authority,http://esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16508,https://en.wikipedia.org/wiki/Swedish_Police_Authority,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16508,http://web.archive.org/web/20160304063953/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16508,available,HTTP 404
en,Swedish Commission on Security and Integrity Protection,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16191,https://en.wikipedia.org/wiki/Swedish_Commission_on_Security_and_Integrity_Protection,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16191,http://web.archive.org/web/20160304064001/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16191,available,HTTP 404
en,Universal Business Language,http://www.esv.se/contentassets/5cb651dd8cbf4425bc50f0d4c37c8db8/esv-cirkular-2015-3.pdf,https://en.wikipedia.org/wiki/Universal_Business_Language,dead,https://www.statskontoret.se:443/contentassets/5cb651dd8cbf4425bc50f0d4c37c8db8/esv-cirkular-2015-3.pdf,,missing,HTTP 404
en,Swedish Security Service,https://www.esv.se/statsliggaren/regleringsbrev/?RBID=19529,https://en.wikipedia.org/wiki/Swedish_Security_Service,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/?RBID=19529,,missing,
en,Swedish Prosecution Authority,https://www.esv.se/statsliggaren/regleringsbrev/?RBID=15327,https://en.wikipedia.org/wiki/Swedish_Prosecution_Authority,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/?RBID=15327,http://web.archive.org/web/20191017060005/https://www.esv.se/statsliggaren/regleringsbrev/?RBID=15327,available,
en,Talk:Dalarna University College,https://www.esv.se/statsliggaren/regleringsbrev/?RBID=18094,https://en.wikipedia.org/wiki/Talk:Dalarna_University_College,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/?RBID=18094,http://web.archive.org/web/20211209104850/https://www.esv.se/statsliggaren/regleringsbrev/?rbid=18094,available,
en,Swedish Migration Agency,http://esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16195,https://en.wikipedia.org/wiki/Swedish_Migration_Agency,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16195,http://web.archive.org/web/20160304032457/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16195,available,HTTP 404
