lang,page_title,url,wiki_link,status,final_url,ia_url,ia_status,reason
en,Rocket.Chat,https://www.esamverka.se/download/18.4a6f5f6917d9204856518c5e/1639137082930/Digital%20collaboration%20platform%20for%20the%20public%20sector.pdf,https://en.wikipedia.org/wiki/Rocket.Chat,ok,https://www.esamverka.se/download/18.4a6f5f6917d9204856518c5e/1639137082930/Digital%20collaboration%20platform%20for%20the%20public%20sector.pdf,,skipped,
sv,Efterlevandeguiden,http://www.esamverka.se/vart-arbete/livshandelsedriven-utveckling.html,https://sv.wikipedia.org/wiki/Efterlevandeguiden,dead,http://www.esamverka.se/vart-arbete/livshandelsedriven-utveckling.html,http://web.archive.org/web/20200815021635/https://esamverka.se/vart-arbete/livshandelsedriven-utveckling.html,available,HTTP 404
sv,Digitalisering,http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,https://sv.wikipedia.org/wiki/Digitalisering,dead,http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,http://web.archive.org/web/20191017013256/http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,available,HTTP 404
sv,Myndigheten för digital förvaltning,http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,dead,http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,http://web.archive.org/web/20191017013256/http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,available,HTTP 404
sv,Myndigheten för digital förvaltning,http://esamverka.se/nyheter/nyheter/2018-08-23-samverkan-inom-esam-fortsatter-samtidigt-som-det-konkreta-samarbetet-med-digg-paborjas.html,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,dead,https://www.esamverka.se/nyheter/nyheter/2018-08-23-samverkan-inom-esam-fortsatter-samtidigt-som-det-konkreta-samarbetet-med-digg-paborjas.html,http://web.archive.org/web/20200203182915/http://esamverka.se:80/nyheter/nyheter/2018-08-23-samverkan-inom-esam-fortsatter-samtidigt-som-det-konkreta-samarbetet-med-digg-paborjas.html,available,HTTP 404
sv,Öppen standard,http://www.esamverka.se/stod-och-vagledning/svenskt-ramverk-for-digital-samverkan.html,https://sv.wikipedia.org/wiki/Öppen_standard,dead,http://www.esamverka.se/stod-och-vagledning/svenskt-ramverk-for-digital-samverkan.html,http://web.archive.org/web/20191231220010/http://www.esamverka.se:80/stod-och-vagledning/svenskt-ramverk-for-digital-samverkan.html,available,HTTP 404
special,Q112773489,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c925/1464273075819/Juridisk%20v%C3%A4gledning%20f%C3%B6r%20verksamhetsutveckling%20inom%20e-f%C3%B6rvaltningen%202.0.pdf,https://special.wikipedia.org/wiki/Q112773489,dead,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c925/1464273075819/Juridisk%20v%C3%A4gledning%20f%C3%B6r%20verksamhetsutveckling%20inom%20e-f%C3%B6rvaltningen%202.0.pdf,http://web.archive.org/web/20220121111306/https://www.esamverka.se/download/18.1d126bc174ad1e6c39c925/1464273075819/Juridisk%20v%C3%A4gledning%20f%C3%B6r%20verksamhetsutveckling%20inom%20e-f%C3%B6rvaltningen%202.0.pdf,available,HTTP 404
special,Q112773726,https://www.esamverka.se/,https://special.wikipedia.org/wiki/Q112773726,ok,https://www.esamverka.se/,,skipped,
special,Q112766254,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c6df/1464273265830/Riktlinjer%20f%C3%B6r%20myndigheters%20anv%C3%A4ndning%20av%20sociala%20medier%201.0.pdf,https://special.wikipedia.org/wiki/Q112766254,ok,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c6df/1464273265830/Riktlinjer%20f%C3%B6r%20myndigheters%20anv%C3%A4ndning%20av%20sociala%20medier%201.0.pdf,,skipped,
special,Q112826277,https://www.esamverka.se/download/18.1d126bc174ad1e6c39ca2b/1598298292560/eSam%20-%20V%C3%A4gledning%20E-legitimation%20och%20E-underskrift%201.1.pdf,https://special.wikipedia.org/wiki/Q112826277,ok,https://www.esamverka.se/download/18.1d126bc174ad1e6c39ca2b/1598298292560/eSam%20-%20V%C3%A4gledning%20E-legitimation%20och%20E-underskrift%201.1.pdf,,skipped,
