lang,page_title,url,wiki_link,status,final_url,ia_url,ia_status,reason
af,Nobelprys,http://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys,dead,https://www.nobelprize.org/,http://web.archive.org/web/20260212184422/https://www.nobelprize.org/,available,redirect_to_root
af,Nobelprys,http://nobelprize.org/nobel/nobel-foundation/index.html,https://af.wikipedia.org/wiki/Nobelprys,dead,https://www.nobelprize.org/nobel/nobel-foundation/index.html,http://web.archive.org/web/20081015162726/http://nobelprize.org/nobel/nobel-foundation/index.html,available,HTTP 404
af,Theodor Mommsen,http://nobelprize.org/literature/laureates/1902/index.html,https://af.wikipedia.org/wiki/Theodor_Mommsen,dead,https://www.nobelprize.org/literature/laureates/1902/index.html,http://web.archive.org/web/20060429044136/http://nobelprize.org:80/literature/laureates/1902/index.html,available,HTTP 404
af,Bjørnstjerne Bjørnson,http://nobelprize.org/literature/laureates/1903/index.html,https://af.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,dead,https://www.nobelprize.org/literature/laureates/1903/index.html,http://web.archive.org/web/20081015203450/http://nobelprize.org/literature/laureates/1903/index.html,available,HTTP 404
af,William Golding,http://nobelprize.org/literature/laureates/1983/golding-bio.html,https://af.wikipedia.org/wiki/William_Golding,dead,https://www.nobelprize.org/literature/laureates/1983/golding-bio.html,http://web.archive.org/web/20090108115919/http://nobelprize.org/literature/laureates/1983/golding-bio.html,available,HTTP 404
af,Diode,http://nobelprize.org/physics/laureates/1928/richardson-lecture.pdf,https://af.wikipedia.org/wiki/Diode,dead,https://www.nobelprize.org/physics/laureates/1928/richardson-lecture.pdf,http://web.archive.org/web/20060618055332/http://nobelprize.org:80/physics/laureates/1928/richardson-lecture.pdf,available,HTTP 404
af,Boris Pasternak,http://nobelprize.org/literature/laureates/1958/index.html,https://af.wikipedia.org/wiki/Boris_Pasternak,dead,https://www.nobelprize.org/literature/laureates/1958/index.html,http://web.archive.org/web/20081121162712/http://nobelprize.org/literature/laureates/1958/index.html,available,HTTP 404
af,Uitdying van die heelal,http://www.nobelprize.org/nobel_prizes/physics/laureates/2011/press.html,https://af.wikipedia.org/wiki/Uitdying_van_die_heelal,ok,https://www.nobelprize.org/prizes/physics/2011/press-release/,,skipped,
af,Doris Lessing,http://www.nobelprize.org/nobel_prizes/literature/laureates/2007/lessing-lecture_en.html,https://af.wikipedia.org/wiki/Doris_Lessing,ok,https://www.nobelprize.org/prizes/literature/2007/lessing/25434-doris-lessing-nobel-lecture-2007/,,skipped,
af,Milton Friedman,http://nobelprize.org/nobel_prizes/economics/laureates/1976/friedman-lecture.html,https://af.wikipedia.org/wiki/Milton_Friedman,ok,https://www.nobelprize.org/prizes/economic-sciences/1976/friedman/lecture/,,skipped,
af,Milton Friedman,http://nobelprize.org/nobel_prizes/economics/laureates/1976/friedman-speech.html,https://af.wikipedia.org/wiki/Milton_Friedman,ok,https://www.nobelprize.org/prizes/economic-sciences/1976/friedman/speech/,,skipped,
af,Inleiding tot die genetika,http://nobelprize.org/educational_games/medicine/dna/index.html,https://af.wikipedia.org/wiki/Inleiding_tot_die_genetika,dead,https://www.nobelprize.org/educational_games/medicine/dna/index.html,http://web.archive.org/web/20100109120627/http://nobelprize.org:80/educational_games/medicine/dna/index.html,available,HTTP 404
af,Makromolekulêre samestelling,http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/illpres.html,https://af.wikipedia.org/wiki/Makromolekulêre_samestelling,ok,https://www.nobelprize.org/prizes/chemistry/2009/illustrated-information/,,skipped,
af,Makromolekulêre samestelling,http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1982/press.html,https://af.wikipedia.org/wiki/Makromolekulêre_samestelling,ok,https://www.nobelprize.org/prizes/chemistry/1982/press-release/,,skipped,
af,Mentol,http://nobelprize.org/chemistry/laureates/2001/noyori-lecture.pdf,https://af.wikipedia.org/wiki/Mentol,dead,https://www.nobelprize.org/chemistry/laureates/2001/noyori-lecture.pdf,http://web.archive.org/web/20080906225252/http://nobelprize.org/chemistry/laureates/2001/noyori-lecture.pdf,available,HTTP 404
af,Vitamien,http://nobelprize.org/medicine/laureates/1929/hopkins-lecture.html,https://af.wikipedia.org/wiki/Vitamien,dead,https://www.nobelprize.org/medicine/laureates/1929/hopkins-lecture.html,http://web.archive.org/web/20081011164413/http://nobelprize.org/medicine/laureates/1929/hopkins-lecture.html,available,HTTP 404
af,Vitamien,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1937/karrer-bio.html,https://af.wikipedia.org/wiki/Vitamien,ok,https://www.nobelprize.org/prizes/chemistry/1937/karrer/biographical/,,skipped,
af,Nobelprys vir Chemie,http://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys_vir_Chemie,dead,https://www.nobelprize.org/,http://web.archive.org/web/20260212184422/https://www.nobelprize.org/,available,redirect_to_root
af,Nobelprys vir fisika,http://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys_vir_fisika,dead,https://www.nobelprize.org/,http://web.archive.org/web/20260212184422/https://www.nobelprize.org/,available,redirect_to_root
af,Nobelprys vir Letterkunde,http://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys_vir_Letterkunde,dead,https://www.nobelprize.org/,http://web.archive.org/web/20260212184422/https://www.nobelprize.org/,available,redirect_to_root
af,Nobelprys vir Vrede,http://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys_vir_Vrede,dead,https://www.nobelprize.org/,http://web.archive.org/web/20260212184422/https://www.nobelprize.org/,available,redirect_to_root
af,Nikolaas II van Rusland,https://www.nobelprize.org/nobel_prizes/peace/nomination/nomination.php?action=show&showid=3291,https://af.wikipedia.org/wiki/Nikolaas_II_van_Rusland,dead,https://www.nobelprize.org/nobel_prizes/peace/nomination/nomination.php?action=show&showid=3291,http://web.archive.org/web/20130530221941/http://www.nobelprize.org/nobel_prizes/peace/nomination/nomination.php?action=show&showid=3291,available,HTTP 404
af,Nobelprys vir Fisiologie of Geneeskunde,https://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys_vir_Fisiologie_of_Geneeskunde,ok,https://www.nobelprize.org/,,skipped,
af,Nobelprys vir Ekonomiese Wetenskappe,https://www.nobelprize.org/,https://af.wikipedia.org/wiki/Nobelprys_vir_Ekonomiese_Wetenskappe,ok,https://www.nobelprize.org/,,skipped,
af,Neutron,http://nobelprize.org/nobel_prizes/physics/laureates/1935/,https://af.wikipedia.org/wiki/Neutron,ok,https://www.nobelprize.org/prizes/physics/1935/summary/,,skipped,
af,Waiting for the Barbarians,https://www.nobelprize.org/nobel_prizes/literature/laureates/2003/press.html,https://af.wikipedia.org/wiki/Waiting_for_the_Barbarians,ok,https://www.nobelprize.org/prizes/literature/2003/press-release/,,skipped,
af,Elie Wiesel,https://www.nobelprize.org/nobel_prizes/peace/laureates/1986/wiesel-bio.html,https://af.wikipedia.org/wiki/Elie_Wiesel,ok,https://www.nobelprize.org/prizes/peace/1986/wiesel/biographical/,,skipped,
af,H.G. Wells,https://www.nobelprize.org/nomination/archive/show_people.php?id=10075,https://af.wikipedia.org/wiki/H.G._Wells,ok,https://www.nobelprize.org/nomination/archive/show_people.php?id=10075,,skipped,
