lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
af,Tomas Tranströmer,http://regeringen.se/sb/d/14087/a/165866,https://af.wikipedia.org/wiki/Tomas_Tranströmer,dead,HTTP 404,https://regeringen.se/sb/d/14087/a/165866,http://web.archive.org/web/20140111230654/http://www.regeringen.se/sb/d/14087/a/165866,available
af,Romani,http://www.regeringen.se/sb/d/108/a/85634,https://af.wikipedia.org/wiki/Romani,dead,HTTP 404,https://www.regeringen.se/sb/d/108/a/85634,http://web.archive.org/web/20140303053546/http://www.regeringen.se/sb/d/108/a/85634,available
af,Nordiese Afrikainstituut,https://www.regeringen.se/myndigheter-med-flera/nordiska-afrikainstitutet/,https://af.wikipedia.org/wiki/Nordiese_Afrikainstituut,ok,,https://www.regeringen.se/myndigheter-med-flera/nordiska-afrikainstitutet/,http://web.archive.org/web/20250427171446/https://www.regeringen.se/myndigheter-med-flera/nordiska-afrikainstitutet/,available
ast,Causes de la Segunda Guerra Mundial,http://www.regeringen.se/sb/d/11412/a/123374,https://ast.wikipedia.org/wiki/Causes_de_la_Segunda_Guerra_Mundial,dead,HTTP 404,https://www.regeringen.se/sb/d/11412/a/123374,,missing
ast,Noonie Bao,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,https://ast.wikipedia.org/wiki/Noonie_Bao,ok,,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,http://web.archive.org/web/20251126074159/https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,available
ast,Avicii,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,https://ast.wikipedia.org/wiki/Avicii,ok,,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,http://web.archive.org/web/20251126074159/https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,available
ast,Benny Andersson,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,https://ast.wikipedia.org/wiki/Benny_Andersson,ok,,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,http://web.archive.org/web/20251126074159/https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,available
ast,Björn Ulvaeus,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,https://ast.wikipedia.org/wiki/Björn_Ulvaeus,ok,,https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,http://web.archive.org/web/20251126074159/https://www.regeringen.se/regeringens-politik/musikexportpriset/tidigare-vinnare-av-musikexportpriset/,available
ast,Pautu Internacional de Derechos Civiles y Políticos,https://www.regeringen.se/4a9fab/globalassets/regeringen/bilder/kulturdepartementet/demokrati-och-mr/mr-sidorna/fns-konventioner-om-manskliga-rattigheter.pdf,https://ast.wikipedia.org/wiki/Pautu_Internacional_de_Derechos_Civiles_y_Políticos,dead,HTTP 404,https://www.regeringen.se/4a9fab/globalassets/regeringen/bilder/kulturdepartementet/demokrati-och-mr/mr-sidorna/fns-konventioner-om-manskliga-rattigheter.pdf,http://web.archive.org/web/20220404082813/https://www.regeringen.se/4a9fab/globalassets/regeringen/bilder/kulturdepartementet/demokrati-och-mr/mr-sidorna/fns-konventioner-om-manskliga-rattigheter.pdf,available
bar,Dischkrian:Malung-Sälen,http://www.regeringen.se/sb/d/8114/a/77817;jsessionid=ayUpz34ONzhb,https://bar.wikipedia.org/wiki/Dischkrian:Malung-Sälen,dead,HTTP 404,https://www.regeringen.se/sb/d/8114/a/77817;jsessionid=ayUpz34ONzhb,,missing
