lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
af,Sweedse kroon,http://www.riksdagen.se/Webbnav/index.aspx?nid=7160&datum=3/25/2009,https://af.wikipedia.org/wiki/Sweedse_kroon,dead,HTTP 404,https://www.riksdagen.se/Webbnav/index.aspx?nid=7160&datum=3/25/2009,,missing
af,Gebruiker:Napakaira/Sandput,http://www.riksdagen.se/templates/R_Page____10320.aspx,https://af.wikipedia.org/wiki/Gebruiker:Napakaira/Sandput,dead,HTTP 404,https://www.riksdagen.se/templates/R_Page____10320.aspx,http://web.archive.org/web/20111113224328/http://www.riksdagen.se:80/templates/R_Page____10320.aspx,available
af,Meänkieli,http://www.riksdagen.se/templates/R_Page____10320.aspx,https://af.wikipedia.org/wiki/Meänkieli,dead,HTTP 404,https://www.riksdagen.se/templates/R_Page____10320.aspx,http://web.archive.org/web/20111113224328/http://www.riksdagen.se:80/templates/R_Page____10320.aspx,available
af,Swede,http://www.riksdagen.se/,https://af.wikipedia.org/wiki/Swede,ok,,https://www.riksdagen.se/sv/,http://web.archive.org/web/20240610213631/https://www.riksdagen.se/,available
af,Vryheid van spraak,http://www.riksdagen.se/templates/R_Page____8908.aspx,https://af.wikipedia.org/wiki/Vryheid_van_spraak,dead,HTTP 404,https://www.riksdagen.se/templates/R_Page____8908.aspx,http://web.archive.org/web/20120203143948/http://www.riksdagen.se:80/templates/R_Page____8908.aspx,available
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/lag-1982269-om-sveriges-flagga_sfs-1982-269,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/lag-1982269-om-sveriges-flagga_sfs-1982-269/,http://web.archive.org/web/20230306133925/https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/lag-1982269-om-sveriges-flagga_sfs-1982-269,available
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1983826-med-riktlinjer-for_sfs-1983-826,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/forordning-1983826-med-riktlinjer-for_sfs-1983-826/,http://web.archive.org/web/20221008044740/https://riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1983826-med-riktlinjer-for_sfs-1983-826,available
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1994657-om-anvandning-av-tretungad_sfs-1994-657,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/forordning-1994657-om-anvandning-av-tretungad_sfs-1994-657/,http://web.archive.org/web/20220521124944/https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1994657-om-anvandning-av-tretungad_sfs-1994-657,available
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1982270-om-allmanna-flaggdagar_sfs-1982-270,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/forordning-1982270-om-allmanna-flaggdagar_sfs-1982-270/,http://web.archive.org/web/20230510055112/https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1982270-om-allmanna-flaggdagar_sfs-1982-270,available
ast,Institutu Confucio,http://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2007/08:46,https://ast.wikipedia.org/wiki/Institutu_Confucio,dead,HTTP 404,https://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2007/08:46,http://web.archive.org/web/20090813090609/http://www.riksdagen.se:80/Webbnav/index.aspx?nid=101&bet=2007/08:46,available
ast,Riksdag,https://www.riksdagen.se/,https://ast.wikipedia.org/wiki/Riksdag,ok,,https://www.riksdagen.se/sv/,http://web.archive.org/web/20240610213631/https://www.riksdagen.se/,available
bcl,Ulf Kristersson,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/ulf-kristersson_e7e4132a-b4df-11d5-8079-0040ca16072a,https://bcl.wikipedia.org/wiki/Ulf_Kristersson,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/ulf-kristersson_e7e4132a-b4df-11d5-8079-0040ca16072a/,http://web.archive.org/web/20230325203426/https://riksdagen.se/sv/ledamoter-partier/ledamot/ulf-kristersson_e7e4132a-b4df-11d5-8079-0040ca16072a,available
bcl,Riksdag,http://www.riksdagen.se/Global/dokument/dokument/laws/the-instrument-of-government-2012.pdf,https://bcl.wikipedia.org/wiki/Riksdag,dead,HTTP 404,https://www.riksdagen.se/Global/dokument/dokument/laws/the-instrument-of-government-2012.pdf,http://web.archive.org/web/20150924091217/http://www.riksdagen.se/Global/dokument/dokument/laws/the-instrument-of-government-2012.pdf,available
bcl,Riksdag,http://www.riksdagen.se/Global/dokument/dokument/laws/the-riksdag-act-2012.pdf,https://bcl.wikipedia.org/wiki/Riksdag,dead,HTTP 404,https://www.riksdagen.se/Global/dokument/dokument/laws/the-riksdag-act-2012.pdf,,missing
bs,Ustav,http://www.riksdagen.se/english/work/constitution.asp,https://bs.wikipedia.org/wiki/Ustav,dead,HTTP 404,https://www.riksdagen.se/english/work/constitution.asp,http://web.archive.org/web/20050326085720/http://www.riksdagen.se:80/english/work/constitution.asp,available
bs,Švedska kruna,http://www.riksdagen.se/Webbnav/index.aspx?nid=7160&datum=3/25/2009,https://bs.wikipedia.org/wiki/Švedska_kruna,dead,HTTP 404,https://www.riksdagen.se/Webbnav/index.aspx?nid=7160&datum=3/25/2009,,missing
bs,Totalförsvarets skyddscentrum,http://www.riksdagen.se/sv/Dokument-Lagar/Forslag/Propositioner-och-skrivelser/om-lokalisering-av-en-for-tota_GB03112/?text=true,https://bs.wikipedia.org/wiki/Totalförsvarets_skyddscentrum,dead,HTTP 404,https://www.riksdagen.se/sv/dokument-och-lagar/Forslag/Propositioner-och-skrivelser/om-lokalisering-av-en-for-tota_GB03112/?text=true,http://web.archive.org/web/20150924121923/http://www.riksdagen.se/sv/Dokument-Lagar/Forslag/Propositioner-och-skrivelser/om-lokalisering-av-en-for-tota_GB03112/?text=true,available
bs,Zastava Švedske,http://www.riksdagen.se/webbnav/index.aspx?nid=3911&bet=1983:826,https://bs.wikipedia.org/wiki/Zastava_Švedske,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=3911&bet=1983:826,http://web.archive.org/web/20110610160734/http://www.riksdagen.se/webbnav/index.aspx?nid=3911&bet=1983:826,available
bs,Zastava Švedske,http://www.riksdagen.se/webbnav/index.aspx?nid=3911&bet=1994:657,https://bs.wikipedia.org/wiki/Zastava_Švedske,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=3911&bet=1994:657,http://web.archive.org/web/20110610160810/http://www.riksdagen.se/webbnav/index.aspx?nid=3911&bet=1994:657,available
bs,Švedska,http://www.riksdagen.se/en/,https://bs.wikipedia.org/wiki/Švedska,ok,,https://www.riksdagen.se/en/,http://web.archive.org/web/20260104152112/https://www.riksdagen.se/en/,available
csb,Szwedzkô,https://www.riksdagen.se/en/,https://csb.wikipedia.org/wiki/Szwedzkô,ok,,https://www.riksdagen.se/en/,http://web.archive.org/web/20260104152112/https://www.riksdagen.se/en/,available
da,Jan Björkman,http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=079095006519,https://da.wikipedia.org/wiki/Jan_Björkman,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=079095006519,,missing
da,Diskussion:Socialdemokraterne (Sverige),http://riksdagen.se/templates/R_Page____1094.aspx,https://da.wikipedia.org/wiki/Diskussion:Socialdemokraterne_(Sverige),dead,HTTP 404,https://www.riksdagen.se/templates/R_Page____1094.aspx,http://web.archive.org/web/20120103160118/http://www.riksdagen.se:80/templates/R_Page____1094.aspx,available
da,Göran Persson,http://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2004/05:140&guid=%7B1285BE57-F835-4CD7-B169-B361F1462A64%7D,https://da.wikipedia.org/wiki/Göran_Persson,dead,HTTP 404,https://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2004/05:140&guid=%7B1285BE57-F835-4CD7-B169-B361F1462A64%7D,http://web.archive.org/web/20110610164422/http://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2004/05:140&guid=%7B1285BE57-F835-4CD7-B169-B361F1462A64%7D,available
da,Lars Leijonborg,http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0980725315516,https://da.wikipedia.org/wiki/Lars_Leijonborg,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0980725315516,http://web.archive.org/web/20110927043225/http://www.riksdagen.se/Webbnav/index.aspx?nid=1111&iid=0980725315516,available
da,Mona Sahlin,http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0806338394516,https://da.wikipedia.org/wiki/Mona_Sahlin,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0806338394516,http://web.archive.org/web/20111020175626/http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0806338394516,available
da,Verdensarvsområder i Sverige,http://www.riksdagen.se/webbnav/index.aspx?nid=37&dok_id=GP03171&rm=2001/02&bet=171,https://da.wikipedia.org/wiki/Verdensarvsområder_i_Sverige,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=37&dok_id=GP03171&rm=2001/02&bet=171,,missing
da,Bengt Berg,http://riksdagen.se/webbnav/index.aspx?nid=1111&iid=0188653245302,https://da.wikipedia.org/wiki/Bengt_Berg,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0188653245302,http://web.archive.org/web/20110123065848/http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0188653245302,available
da,Veronica Palm,http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0548314774911,https://da.wikipedia.org/wiki/Veronica_Palm,dead,HTTP 404,https://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0548314774911,http://web.archive.org/web/20111116042358/http://www.riksdagen.se/webbnav/index.aspx?nid=1111&iid=0548314774911,available
da,Helgeandsholmen,http://www.riksdagen.se/,https://da.wikipedia.org/wiki/Helgeandsholmen,ok,,https://www.riksdagen.se/sv/,http://web.archive.org/web/20240610213631/https://www.riksdagen.se/,available
da,Riksmötets öppnande,http://www.riksdagen.se/webbnav/?nid=53&ordID=249&sokord=&bokstav=%C3%96,https://da.wikipedia.org/wiki/Riksmötets_öppnande,dead,HTTP 404,https://www.riksdagen.se/webbnav/?nid=53&ordID=249&sokord=&bokstav=%C3%96,http://web.archive.org/web/20070210040347/http://www.riksdagen.se:80/webbnav/?nid=53&ordID=249&sokord=&bokstav=ÄÂ,available
da,Anton Abele,http://www.riksdagen.se/sv/ledamoter-partier/Hitta-ledamot/Ledamoter/Abele-Anton-0538982776628/,https://da.wikipedia.org/wiki/Anton_Abele,dead,HTTP 404,https://www.riksdagen.se/sv/ledamoter-och-partier/Hitta-ledamot/Ledamoter/Abele-Anton-0538982776628/,http://web.archive.org/web/20160305010107/https://www.riksdagen.se/sv/ledamoter-partier/Hitta-ledamot/Ledamoter/Abele-Anton-0538982776628/,available
