lang,page_title,url,wiki_link,status,final_url,ia_url,ia_status,reason
af,Sweedse kroon,http://www.riksdagen.se/Webbnav/index.aspx?nid=7160&datum=3/25/2009,https://af.wikipedia.org/wiki/Sweedse_kroon,dead,https://www.riksdagen.se/Webbnav/index.aspx?nid=7160&datum=3/25/2009,,missing,HTTP 404
af,Gebruiker:Napakaira/Sandput,http://www.riksdagen.se/templates/R_Page____10320.aspx,https://af.wikipedia.org/wiki/Gebruiker:Napakaira/Sandput,dead,https://www.riksdagen.se/templates/R_Page____10320.aspx,http://web.archive.org/web/20111113224328/http://www.riksdagen.se:80/templates/R_Page____10320.aspx,available,HTTP 404
af,Meänkieli,http://www.riksdagen.se/templates/R_Page____10320.aspx,https://af.wikipedia.org/wiki/Meänkieli,dead,https://www.riksdagen.se/templates/R_Page____10320.aspx,http://web.archive.org/web/20111113224328/http://www.riksdagen.se:80/templates/R_Page____10320.aspx,available,HTTP 404
af,Swede,http://www.riksdagen.se/,https://af.wikipedia.org/wiki/Swede,ok,https://www.riksdagen.se/sv/,,skipped,
af,Vryheid van spraak,http://www.riksdagen.se/templates/R_Page____8908.aspx,https://af.wikipedia.org/wiki/Vryheid_van_spraak,dead,https://www.riksdagen.se/templates/R_Page____8908.aspx,http://web.archive.org/web/20120203143948/http://www.riksdagen.se:80/templates/R_Page____8908.aspx,available,HTTP 404
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/lag-1982269-om-sveriges-flagga_sfs-1982-269,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/lag-1982269-om-sveriges-flagga_sfs-1982-269/,,skipped,
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1983826-med-riktlinjer-for_sfs-1983-826,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/forordning-1983826-med-riktlinjer-for_sfs-1983-826/,,skipped,
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1994657-om-anvandning-av-tretungad_sfs-1994-657,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/forordning-1994657-om-anvandning-av-tretungad_sfs-1994-657/,,skipped,
af,Vlag van Swede,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-1982270-om-allmanna-flaggdagar_sfs-1982-270,https://af.wikipedia.org/wiki/Vlag_van_Swede,ok,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/forordning-1982270-om-allmanna-flaggdagar_sfs-1982-270/,,skipped,
ast,Institutu Confucio,http://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2007/08:46,https://ast.wikipedia.org/wiki/Institutu_Confucio,dead,https://www.riksdagen.se/Webbnav/index.aspx?nid=101&bet=2007/08:46,http://web.archive.org/web/20090813090609/http://www.riksdagen.se:80/Webbnav/index.aspx?nid=101&bet=2007/08:46,available,HTTP 404
