lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
en,Swedish Fortifications Agency,http://www.statskontoret.se/upload/publikationer/2005/2005106.pdf,https://en.wikipedia.org/wiki/Swedish_Fortifications_Agency,dead,HTTP 404,http://www.statskontoret.se/upload/publikationer/2005/2005106.pdf,,missing
en,E-government in Europe,http://www.statskontoret.se/upload/Publikationer/2000/200041.pdf,https://en.wikipedia.org/wiki/E-government_in_Europe,dead,HTTP 404,http://www.statskontoret.se/upload/Publikationer/2000/200041.pdf,http://web.archive.org/web/20240910130641/https://www.statskontoret.se/upload/Publikationer/2000/200041.pdf,available
en,User:Kipitis/temporanee,http://www.statskontoret.se/in-english/publications/2010/a-survey-of-exclusive-rights-or-arrangements/,https://en.wikipedia.org/wiki/User:Kipitis/temporanee,dead,HTTP 404,http://www.statskontoret.se/in-english/publications/2010/a-survey-of-exclusive-rights-or-arrangements/,,missing
en,User:1Kwords/sandbox,http://www.statskontoret.se/globalassets/publikationer/2004/200418.pdf,https://en.wikipedia.org/wiki/User:1Kwords/sandbox,dead,HTTP 404,http://www.statskontoret.se/globalassets/publikationer/2004/200418.pdf,http://web.archive.org/web/20250428134625/https://www.statskontoret.se/globalassets/publikationer/2004/200418.pdf,available
en,List of failed and overbudget custom software projects,https://www.statskontoret.se/siteassets/publikationer/2010/201014.pdf,https://en.wikipedia.org/wiki/List_of_failed_and_overbudget_custom_software_projects,ok,,https://www.statskontoret.se/siteassets/publikationer/2010/201014.pdf,http://web.archive.org/web/20251126234350/https://www.statskontoret.se/siteassets/publikationer/2010/201014.pdf,available
en,Swedish Agency for Youth and Civil Society,https://www.statskontoret.se/nyheter/mucf-behover-skarpa-kontrollen-av-statsbidrag-till-ideella-organisationer/,https://en.wikipedia.org/wiki/Swedish_Agency_for_Youth_and_Civil_Society,dead,HTTP 404,https://www.statskontoret.se/nyheter/mucf-behover-skarpa-kontrollen-av-statsbidrag-till-ideella-organisationer/,http://web.archive.org/web/20210803183238/https://www.statskontoret.se/nyheter/mucf-behover-skarpa-kontrollen-av-statsbidrag-till-ideella-organisationer/,available
en,Swedish Agency for Youth and Civil Society,https://www.statskontoret.se/globalassets/publikationer/2017/201713.pdf,https://en.wikipedia.org/wiki/Swedish_Agency_for_Youth_and_Civil_Society,dead,HTTP 404,https://www.statskontoret.se/globalassets/publikationer/2017/201713.pdf,http://web.archive.org/web/20250117202402/https://www.statskontoret.se/globalassets/publikationer/2017/201713.pdf,available
fi,Per capsulam,http://www.statskontoret.se/upload/Publikationer/1999/199903.pdf,https://fi.wikipedia.org/wiki/Per_capsulam,dead,HTTP 404,http://www.statskontoret.se/upload/Publikationer/1999/199903.pdf,http://web.archive.org/web/20210308123723/https://www.statskontoret.se/upload/Publikationer/1999/199903.pdf,available
no,Statskontoret (Sverige),http://www.statskontoret.se/,https://no.wikipedia.org/wiki/Statskontoret_(Sverige),dead,HTTP 404,http://www.statskontoret.se/,,missing
no,Läkemedelsverket,https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,https://no.wikipedia.org/wiki/Läkemedelsverket,dead,HTTP 404,https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,http://web.archive.org/web/20250909092515/https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,available
no,Bolagsverket,https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,https://no.wikipedia.org/wiki/Bolagsverket,dead,HTTP 404,https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,http://web.archive.org/web/20250909092515/https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,available
no,Spelinspektionen,https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,https://no.wikipedia.org/wiki/Spelinspektionen,dead,HTTP 404,https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,http://web.archive.org/web/20250909092515/https://www.statskontoret.se/contentassets/73dfde44d5bc4cffaace77dd47226c69/arsarbetskrafter-i-staten-oppna-data_webben.xlsx,available
