Wikipedia Name,Language Code
Danish Wikipedia,da
English Wikipedia,en
Swedish Wikipedia,sv
Catalan Wikipedia,ca
Cebuano Wikipedia,ceb
Croatian Wikipedia,hr
Czech Wikipedia,cs
Dutch Wikipedia,nl
Esperanto Wikipedia,eo
Estonian Wikipedia,et
Finnish Wikipedia,fi
German Wikipedia,de
Hungarian Wikipedia,hu
Icelandic Wikipedia,is
Irish Wikipedia,ga
Italian Wikipedia,it
Latvian Wikipedia,lv
Northern Sámi Wikipedia,se
Norwegian Wikipedia (Bokmål),no
Norwegian Wikipedia (Nynorsk),nn
Polish Wikipedia,pl
Portuguese Wikipedia,pt
Romani Wikipedia,rmy
Romanian Wikipedia,ro
Romansh Wikipedia,rm
(Russkaya Vikipediya),ru
Slovak Wikipedia,sk
Slovene Wikipedia,sl
Somali Wikipedia,so
Spanish Wikipedia,es
Turkish Wikipedia,tr
Vietnamese Wikipedia,vi
Welsh Wikipedia,cy
