Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort,URL_OK,HTTP_Status
202100-5489,BOLAGSVERKET,,851 81,SUNDSVALL,STUVARVÄGEN 21,852 29,SUNDSVALL,771670670.0,,bolagsverket@bolagsverket.se,www.bolagsverket.se,2007:1110,,,,,,,,,,,,,,,,,,False,
202100-1819,CENTRALA STUDIESTÖDSNÄMNDEN,,851 82,SUNDSVALL,NORRA TJÄRNGATAN 2,852 33,SUNDSVALL,60186000.0,,registrator@csn.se,www.csn.se,2017:1114,,,,,,,,,,,,,,,,,,False,
202100-6842,Delegationen för folkrättslig granskning av vapenprojekt,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:936,,,,,,,,,,,,,,,,,,False,
202100-6081,Domarnämnden,BOX 2330,103 18,STOCKHOLM,BIRGER JARLS TORG 5,111 28,STOCKHOLM,856166950.0,,domarnamnden@dom.se,www.domstol.se/domarnamnden,2010:1793,,,,,,,,,,,,,,,,,,False,
202100-0340,FÖRSVARETS MATERIELVERK,,115 88,STOCKHOLM,BANÉRGATAN 62,115 53,STOCKHOLM,87824000.0,,registrator@fmv.se,www.fmv.se,2007:854,,,,,,,,,,,,,,,,,,False,403.0
202100-0365,FÖRSVARETS RADIOANSTALT,BOX 301,161 26,BROMMA,RÖRBYVÄGEN 20,178 93,DROTTNINGHOLM,105574600.0,,fra@fra.se,www.fra.se,2025:237,,,,,,,,,,,,,,,,,,False,405.0
202100-4615,FÖRSVARSMAKTEN,,107 85,STOCKHOLM,Lidingövägen 24,115 57,STOCKHOLM,87887500.0,,exp-hkv@mil.se,www.forsvarsmakten.se,2024:1333,,,,,,,,,,,,,,,,,,False,403.0
202100-6859,Granskningsnämnden för försvarsuppfinningar,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:855,,,,,,,,,,,,,,,,,,False,
202100-3138,HÖGSKOLAN I BORÅS,,501 90,BORÅS,ALLÉGATAN 1,503 32,BORÅS,334354000.0,,registrator@hb.se,www.hb.se,1993:100,,,,,,,,,,,,,,,,,,False,404.0
202100-0050,Integritetsskyddsmyndigheten,BOX 8114,104 20,STOCKHOLM,Fleminggatan 14,112 26,STOCKHOLM,86576100.0,,imy@imy.se,www.imy.se,2007:975,,,,,,,,,,,,,,,,,,False,404.0
202100-2007,KOMMERSKOLLEGIUM,BOX 6803,113 86,STOCKHOLM,FLEMMINGGATAN 14,112 26,STOCKHOLM,86904800.0,,registrator@kommerskollegium.se,www.kommerskollegium.se,2012:990,,,,,,,,,,,,,,,,,,False,
202100-4342,KONKURRENSVERKET,RINGVÄGEN 100,118 60,STOCKHOLM,RINGVÄGEN 100,118 60,STOCKHOLM,87001600.0,,konkurrensverket@kkv.se,www.konkurrensverket.se,2007:1117,,,,,,,,,,,,,,,,,,False,403.0
202100-5810,Krigsförsäkringsnämnden,Box 7821,103 97,STOCKHOLM,,000 00,STOCKHOLM,87878000.0,,,http://www.regeringen.se/myndigheter-med-flera/krigsforsakringsnamnden/,2007:842,,,,,,,,,,,,,,,,,,False,
202100-0225,KRIMINALVÅRDEN,,601 80,NORRKÖPING,SLOTTSGATAN 78,602 22,NORRKÖPING,772280800.0,,hk@kriminalvarden.se,www.kriminalvarden.se,2023:797,,,,,,,,,,,,,,,,,,False,405.0
202100-6735,Lokala säkerhetsnämnden vid Forsmark,BOX 66,742 21,ÖSTHAMMAR,,000 00,ÖSTHAMMAR,,,,www.osthammar.se/sv/organisation/namnd/lokala-sakerhetsnamnden/,2007:1054,,,,,,,,,,,,,,,,,,False,500.0
202100-6743,Lokala säkerhetsnämnden vid Oskarshamn,BOX 706,572 28,OSKARSHAMN,,000 00,OSKARSHAMN,,,,www.oskarshamn.se/mer-om-kommunen/karnenergi-och-karnavfall/lokala-sakerhetsnamnden-vid-oskarshamns-karnkraftverk-och-karnenergiberedskap/,2007:1054,,,,,,,,,,,,,,,,,,False,404.0
202100-7055,MYNDIGHETEN FÖR TOTALFÖRSVARSANALYS,BOX 24250,104 51,STOCKHOLM,Karlavägen 104  9 tr,115 23,STOCKHOLM,101605100.0,,registrator@mtfa.se,www.mtfa.se,2022:1768,,,,,,,,,,,,,,,,,,False,403.0
202100-6032,Notarienämnden,Box 2203,550 02,JÖNKÖPING,,000 00,JÖNKÖPING,36156800.0,,notarienamnden@dom.se,www.domstol.se/Om-Sveriges-Domstolar/Notarienamnden,2007:1076,,,,,,,,,,,,,,,,,,False,
